"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.056","0.057","0.003","0.028","0.084","0.107","19,982"
"2","$K$","60,105","57,111","29,180","43,035","73,468","109,448","19,982"
"3","$z$","2.321","1.986","0.066","0.813","3.65","5.762","19,981"
"4","$Pmsy$","0.716","0.718","0.626","0.674","0.761","0.796","19,982"
"5","$P_{50}$","0.08","0.073","0.003","0.034","0.121","0.188","19,982"
"6","$sigma$","0.019","0.02","0.009","0.015","0.023","0.025","19,981"
"7","$N_{min}$"," 3,587"," 3,642"," 2,509"," 3,319"," 3,915","  4,370","19,982"
"8","$N_{2019}$"," 4,274"," 4,256"," 3,608"," 4,025"," 4,505","  5,052","19,982"
"9","$N_{2021}$"," 4,285"," 4,263"," 3,558"," 4,013"," 4,534","  5,155","19,982"
"10","$N_{2030}$"," 4,347"," 4,283"," 3,371"," 3,952"," 4,670","  5,714","19,982"
"11","Max depletion","0.066","0.064","0.033","0.05","0.08","0.112","19,982"
"12","Depletion in 2019","0.081","0.074","0.038","0.057","0.1","0.158","19,982"
"13","Depletion in 2021","0.082","0.074","0.037","0.057","0.1","0.161","19,982"
"14","Depletion in 2030","0.084","0.074","0.037","0.056","0.102","0.18","19,982"
"15","$q_{flt1}$","0.362","0.361","0.319","0.346","0.377","0.409","19,982"
"16","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"17","$sigma_q$","0","0","0","0","0","0","     1"
"18","$p(q)_{flt1}$","0.38","0.36","0.187","0.281","0.461","0.668",NA
