"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.012","0.011","0.001","0.006","0.016","0.028","18,667"
"2","$K$","48,684","47,224","35,665","42,692","53,023","70,319","18,667"
"3","$z$","4.261","3.455","1.075","1.948","6.085","10.443","18,667"
"4","$Pmsy$","0.649","0.649","0.507","0.574","0.725","0.792","18,667"
"5","$sigma$","0.0187797732364874","0.019582142310012","0.00912634696340009","0.0152693457223128","0.0228587207367549","0.0252662092520376","18,667"
"6","$N_{min}$"," 1,913"," 1,743","   290","   899"," 2,908"," 4,001","18,667"
"7","$N_{2019}$"," 4,597"," 4,572"," 3,817"," 4,293"," 4,876"," 5,522","18,667"
"8","$N_{2021}$"," 4,708"," 4,672"," 3,820"," 4,356"," 5,019"," 5,790","18,667"
"9","$N_{2030}$"," 5,254"," 5,139"," 3,863"," 4,627"," 5,765"," 7,291","18,667"
"10","Max depletion","0.038","0.036","0.008","0.021","0.054","0.075","18,667"
"11","Depletion in 2019","0.098","0.096","0.06","0.083","0.111","0.146","18,667"
"12","Depletion in 2021","0.1","0.098","0.06","0.084","0.115","0.154","18,667"
"13","Depletion in 2030","0.113","0.108","0.061","0.089","0.132","0.194","18,667"
"14","$q_{flt1}$","0.362","0.361","0.319","0.346","0.377","0.409","18,667"
"15","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"16","$sigma_q$","0","0","0","0","0","0","     1"
"17","$p(q)_{flt1}$","0.379","0.358","0.185","0.28","0.462","0.668",NA
