"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.027","0.021","0.001","0.011","0.037","0.087","19,973"
"2","$K$","58,975","56,164","33,220","46,571","68,430","99,800","19,973"
"3","$z$","3.583","2.722","0.28","1.37","5.301","9.966","19,972"
"4","$Pmsy$","0.642","0.637","0.506","0.565","0.718","0.791","19,973"
"5","$P_{50}$","0.13","0.111","0.005","0.053","0.187","0.357","19,973"
"6","$sigma$","0.019","0.019","0.009","0.015","0.023","0.025","19,973"
"7","$N_{min}$"," 2,675"," 2,717"," 1,118"," 2,038"," 3,325"," 4,084","19,973"
"8","$N_{2019}$"," 4,544"," 4,513"," 3,769"," 4,238"," 4,818"," 5,486","19,973"
"9","$N_{2021}$"," 4,644"," 4,599"," 3,761"," 4,286"," 4,957"," 5,763","19,973"
"10","$N_{2030}$"," 5,166"," 5,000"," 3,765"," 4,496"," 5,673"," 7,467","19,973"
"11","Max depletion","0.046","0.046","0.023","0.038","0.054","0.071","19,973"
"12","Depletion in 2019","0.084","0.08","0.042","0.064","0.1","0.15","19,973"
"13","Depletion in 2021","0.086","0.082","0.042","0.065","0.103","0.157","19,973"
"14","Depletion in 2030","0.098","0.089","0.042","0.067","0.118","0.203","19,973"
"15","$q_{flt1}$","0.363","0.362","0.32","0.347","0.378","0.409","19,973"
"16","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"17","$sigma_q$","0","0","0","0","0","0","     1"
"18","$p(q)_{flt1}$","0.379","0.359","0.186","0.28","0.462","0.668",NA
