"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.028","0.024","0.001","0.013","0.04","0.081","19,967"
"2","$K$","56,906","54,038","32,200","44,646","66,188","97,758","19,967"
"3","$z$","3.614","2.723","0.39","1.355","5.306","10.142","19,967"
"4","$Pmsy$","0.637","0.631","0.505","0.558","0.713","0.791","19,967"
"5","$P_{50}$","0.122","0.13","0.011","0.081","0.168","0.197","19,967"
"6","$sigma$","0.019","0.019","0.009","0.015","0.023","0.025","19,967"
"7","$N_{min}$"," 2,750"," 2,778"," 1,318"," 2,160"," 3,352"," 4,100","19,967"
"8","$N_{2019}$"," 4,540"," 4,510"," 3,772"," 4,236"," 4,813"," 5,466","19,967"
"9","$N_{2021}$"," 4,639"," 4,594"," 3,771"," 4,285"," 4,946"," 5,757","19,967"
"10","$N_{2030}$"," 5,168"," 4,987"," 3,778"," 4,480"," 5,667"," 7,553","19,967"
"11","Max depletion","0.05","0.049","0.028","0.042","0.057","0.072","19,967"
"12","Depletion in 2019","0.087","0.083","0.043","0.066","0.105","0.155","19,967"
"13","Depletion in 2021","0.09","0.085","0.043","0.067","0.108","0.164","19,967"
"14","Depletion in 2030","0.102","0.092","0.043","0.069","0.124","0.216","19,967"
"15","$q_{flt1}$","0.362","0.362","0.32","0.346","0.377","0.409","19,967"
"16","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"17","$sigma_q$","0","0","0","0","0","0","     1"
"18","$p(q)_{flt1}$","0.379","0.359","0.186","0.28","0.462","0.667",NA
