"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.057","0.058","0.003","0.029","0.084","0.107","19,977"
"2","$K$","58,619","55,493","28,652","42,220","71,561","105,919","19,978"
"3","$z$","2.347","2.012","0.07","0.854","3.658","5.865","19,975"
"4","$Pmsy$","0.714","0.717","0.623","0.672","0.759","0.796","19,978"
"5","$P_{50}$","0.06","0.045","0.002","0.02","0.085","0.204","19,978"
"6","$sigma$","0.019","0.019","0.009","0.015","0.023","0.025","19,978"
"7","$N_{min}$"," 3,507"," 3,568"," 2,367"," 3,209"," 3,865","  4,333","19,978"
"8","$N_{2019}$"," 4,307"," 4,290"," 3,634"," 4,055"," 4,541","  5,066","19,978"
"9","$N_{2021}$"," 4,329"," 4,307"," 3,594"," 4,047"," 4,582","  5,187","19,978"
"10","$N_{2030}$"," 4,445"," 4,380"," 3,430"," 4,034"," 4,789","  5,826","19,978"
"11","Max depletion","0.066","0.064","0.034","0.051","0.079","0.107","19,978"
"12","Depletion in 2019","0.084","0.077","0.039","0.059","0.103","0.162","19,978"
"13","Depletion in 2021","0.085","0.077","0.039","0.059","0.104","0.165","19,978"
"14","Depletion in 2030","0.088","0.078","0.038","0.058","0.108","0.189","19,978"
"15","$q_{flt1}$","0.362","0.362","0.32","0.346","0.377","0.409","19,978"
"16","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"17","$sigma_q$","0","0","0","0","0","0","     1"
"18","$p(q)_{flt1}$","0.38","0.36","0.187","0.281","0.462","0.668",NA
