"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.012","0.011","0.001","0.006","0.016","0.028","18,699"
"2","$K$","44,417","42,515","26,196","35,146","51,638","73,175","18,699"
"3","$z$","4.232","3.433","1.076","1.914","6.06","10.539","18,699"
"4","$Pmsy$","0.648","0.648","0.507","0.572","0.724","0.793","18,699"
"5","$sigma$","0.0187641817381505","0.0195672798460952","0.00906840785937724","0.0152646823008586","0.0228077294546621","0.0252620824037011","18,699"
"6","$N_{min}$"," 2,096"," 2,006","   459"," 1,175"," 3,005"," 4,000","18,699"
"7","$N_{2019}$"," 4,597"," 4,572"," 3,821"," 4,296"," 4,872"," 5,510","18,699"
"8","$N_{2021}$"," 4,707"," 4,671"," 3,842"," 4,354"," 5,016"," 5,786","18,699"
"9","$N_{2030}$"," 5,245"," 5,131"," 3,870"," 4,617"," 5,766"," 7,248","18,699"
"10","Max depletion","0.046","0.044","0.015","0.03","0.059","0.091","18,699"
"11","Depletion in 2019","0.112","0.108","0.058","0.086","0.133","0.192","18,699"
"12","Depletion in 2021","0.115","0.11","0.058","0.088","0.137","0.202","18,699"
"13","Depletion in 2030","0.13","0.121","0.059","0.093","0.157","0.25","18,699"
"14","$q_{flt1}$","0.362","0.361","0.319","0.347","0.377","0.409","18,699"
"15","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"16","$sigma_q$","0","0","0","0","0","0","     1"
"17","$p(q)_{flt1}$","0.379","0.358","0.185","0.28","0.462","0.667",NA
