"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.024","0.023","0.013","0.019","0.028","0.037","19,237"
"2","$K$","51,267","50,000","35,026","43,580","57,657","73,978","19,237"
"3","$z$","4.158","3.354","1.057","1.847","5.953","10.431","19,237"
"4","$Pmsy$","0.645","0.645","0.505","0.568","0.722","0.792","19,237"
"5","$sigma$","0.0195109286105093","0.0205236263077996","0.00942451286603317","0.0164371208271238","0.0233288795138794","0.0253008171681508","19,237"
"6","$N_{min}$","   832","   752","   274","   540"," 1,035"," 1,849","19,237"
"7","$N_{2019}$"," 4,986"," 4,970"," 4,154"," 4,668"," 5,278"," 5,921","19,237"
"8","$N_{2021}$"," 5,228"," 5,201"," 4,281"," 4,859"," 5,563"," 6,351","19,237"
"9","$N_{2030}$"," 6,467"," 6,369"," 4,819"," 5,780"," 7,057"," 8,642","19,237"
"10","Max depletion","0.016","0.015","0.007","0.011","0.019","0.031","19,237"
"11","Depletion in 2019","0.101","0.099","0.062","0.084","0.116","0.154","19,237"
"12","Depletion in 2021","0.107","0.104","0.064","0.088","0.122","0.165","19,237"
"13","Depletion in 2030","0.132","0.127","0.073","0.105","0.154","0.222","19,237"
"14","$q_{flt1}$","0.362","0.361","0.32","0.346","0.376","0.408","19,237"
"15","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"16","$sigma_q$","0","0","0","0","0","0","     1"
"17","$p(q)_{flt1}$","0.378","0.356","0.179","0.279","0.462","0.675",NA
