"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.026","0.022","0.001","0.012","0.037","0.077","19,964"
"2","$K$","58,542","55,667","33,744","46,174","67,791","99,242","19,964"
"3","$z$","3.556","2.679","0.393","1.313","5.241","10.048","19,964"
"4","$Pmsy$","0.638","0.632","0.505","0.558","0.714","0.792","19,964"
"5","$P_{50}$","0.12","0.128","0.011","0.079","0.168","0.197","19,964"
"6","$sigma$","0.019","0.02","0.009","0.015","0.023","0.025","19,964"
"7","$N_{min}$"," 2,688"," 2,715"," 1,221"," 2,061"," 3,333"," 4,076","19,964"
"8","$N_{2019}$"," 4,547"," 4,515"," 3,773"," 4,244"," 4,822"," 5,490","19,964"
"9","$N_{2021}$"," 4,647"," 4,603"," 3,769"," 4,292"," 4,956"," 5,781","19,964"
"10","$N_{2030}$"," 5,180"," 5,007"," 3,759"," 4,501"," 5,687"," 7,473","19,964"
"11","Max depletion","0.047","0.046","0.026","0.039","0.054","0.07","19,964"
"12","Depletion in 2019","0.085","0.081","0.042","0.064","0.101","0.149","19,964"
"13","Depletion in 2021","0.087","0.082","0.042","0.065","0.104","0.158","19,964"
"14","Depletion in 2030","0.099","0.09","0.042","0.068","0.12","0.205","19,964"
"15","$q_{flt1}$","0.362","0.362","0.32","0.347","0.377","0.41","19,964"
"16","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"17","$sigma_q$","0","0","0","0","0","0","     1"
"18","$p(q)_{flt1}$","0.379","0.359","0.186","0.28","0.462","0.668",NA
