"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.011","0.01","0.001","0.005","0.015","0.026","19,958"
"2","$K$","65,152","63,293","41,996","54,080","74,589","97,694","19,958"
"3","$z$","4.234","3.436","1.073","1.933","6.025","10.465","19,958"
"4","$Pmsy$","0.648","0.648","0.507","0.573","0.724","0.792","19,958"
"5","$sigma$","0.00983918568346362","0.00988565767195889","0.00816682860217799","0.0090254447836559","0.0106809630288259","0.0113437560905082","19,958"
"6","$N_{min}$"," 2,361"," 2,367","   590"," 1,430"," 3,282"," 4,133","19,958"
"7","$N_{2019}$"," 4,660"," 4,634"," 3,967"," 4,384"," 4,905"," 5,498","19,958"
"8","$N_{2021}$"," 4,764"," 4,726"," 3,991"," 4,442"," 5,040"," 5,747","19,958"
"9","$N_{2030}$"," 5,270"," 5,158"," 4,055"," 4,696"," 5,725"," 7,080","19,958"
"10","Max depletion","0.035","0.035","0.013","0.025","0.044","0.063","19,958"
"11","Depletion in 2019","0.076","0.073","0.044","0.061","0.088","0.122","19,958"
"12","Depletion in 2021","0.078","0.075","0.044","0.061","0.091","0.128","19,958"
"13","Depletion in 2030","0.087","0.081","0.045","0.065","0.103","0.157","19,958"
"14","$q_{flt1}$","0.359","0.359","0.319","0.345","0.373","0.402","19,958"
"15","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"16","$sigma_q$","0","0","0","0","0","0","     1"
"17","$p(q)_{flt1}$","0.376","0.356","0.183","0.277","0.46","0.663",NA
