"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.029","0.022","0.001","0.011","0.039","0.09","19,972"
"2","$K$","57,840","54,863","31,772","45,259","67,418","98,812","19,972"
"3","$z$","3.645","2.826","0.295","1.432","5.352","10.03","19,972"
"4","$Pmsy$","0.644","0.639","0.507","0.568","0.718","0.791","19,972"
"5","$P_{50}$","0.129","0.113","0.005","0.055","0.185","0.351","19,972"
"6","$sigma$","0.019","0.019","0.009","0.015","0.023","0.025","19,972"
"7","$N_{min}$"," 2,739"," 2,778"," 1,195"," 2,153"," 3,352"," 4,100","19,972"
"8","$N_{2019}$"," 4,537"," 4,508"," 3,772"," 4,234"," 4,807"," 5,464","19,972"
"9","$N_{2021}$"," 4,636"," 4,592"," 3,770"," 4,283"," 4,943"," 5,748","19,972"
"10","$N_{2030}$"," 5,155"," 4,997"," 3,770"," 4,487"," 5,634"," 7,493","19,972"
"11","Max depletion","0.049","0.049","0.024","0.04","0.057","0.075","19,972"
"12","Depletion in 2019","0.086","0.082","0.042","0.065","0.103","0.156","19,972"
"13","Depletion in 2021","0.088","0.083","0.042","0.066","0.106","0.164","19,972"
"14","Depletion in 2030","0.1","0.091","0.043","0.069","0.12","0.213","19,972"
"15","$q_{flt1}$","0.362","0.362","0.319","0.347","0.377","0.409","19,972"
"16","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"17","$sigma_q$","0","0","0","0","0","0","     1"
"18","$p(q)_{flt1}$","0.38","0.359","0.186","0.28","0.462","0.669",NA
