"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.057","0.058","0.003","0.03","0.085","0.107","19,984"
"2","$K$","57,433","54,029","27,716","40,640","70,352","105,479","19,984"
"3","$z$","2.366","2.021","0.068","0.848","3.695","5.895","19,982"
"4","$Pmsy$","0.715","0.716","0.622","0.671","0.76","0.796","19,983"
"5","$P_{50}$","0.06","0.046","0.002","0.02","0.085","0.195","19,984"
"6","$sigma$","0.019","0.019","0.009","0.015","0.023","0.025","19,984"
"7","$N_{min}$"," 3,493"," 3,559"," 2,340"," 3,186"," 3,855","  4,330","19,984"
"8","$N_{2019}$"," 4,317"," 4,297"," 3,627"," 4,057"," 4,557","  5,105","19,984"
"9","$N_{2021}$"," 4,342"," 4,316"," 3,589"," 4,056"," 4,597","  5,231","19,984"
"10","$N_{2030}$"," 4,466"," 4,398"," 3,436"," 4,041"," 4,807","  5,914","19,984"
"11","Max depletion","0.067","0.066","0.034","0.052","0.081","0.113","19,984"
"12","Depletion in 2019","0.087","0.079","0.039","0.06","0.108","0.17","19,984"
"13","Depletion in 2021","0.087","0.079","0.039","0.06","0.108","0.174","19,984"
"14","Depletion in 2030","0.091","0.08","0.038","0.059","0.112","0.198","19,984"
"15","$q_{flt1}$","0.362","0.361","0.32","0.346","0.377","0.409","19,984"
"16","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"17","$sigma_q$","0","0","0","0","0","0","     1"
"18","$p(q)_{flt1}$","0.38","0.36","0.187","0.281","0.461","0.667",NA
