"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.012","0.011","0.001","0.006","0.016","0.028","18,754"
"2","$K$","65,151","62,587","40,343","52,780","74,632","105,213","18,754"
"3","$z$","4.24","3.445","1.076","1.925","6.056","10.511","18,754"
"4","$Pmsy$","0.649","0.649","0.507","0.573","0.724","0.793","18,754"
"5","$sigma$","0.0187408366821837","0.01955860192944","0.00905214003204801","0.0151954646172776","0.0228015382288262","0.0252700479713882","18,754"
"6","$N_{min}$"," 2,172"," 2,129","   502"," 1,256"," 3,066","  4,005","18,754"
"7","$N_{2019}$"," 4,600"," 4,574"," 3,834"," 4,303"," 4,868","  5,522","18,754"
"8","$N_{2021}$"," 4,712"," 4,678"," 3,836"," 4,363"," 5,016","  5,803","18,754"
"9","$N_{2030}$"," 5,257"," 5,145"," 3,859"," 4,619"," 5,767","  7,273","18,754"
"10","Max depletion","0.033","0.032","0.011","0.022","0.042","0.062","18,754"
"11","Depletion in 2019","0.076","0.073","0.04","0.06","0.089","0.125","18,754"
"12","Depletion in 2021","0.078","0.075","0.04","0.061","0.092","0.131","18,754"
"13","Depletion in 2030","0.088","0.082","0.041","0.064","0.105","0.164","18,754"
"14","$q_{flt1}$","0.362","0.361","0.32","0.347","0.377","0.409","18,754"
"15","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"16","$sigma_q$","0","0","0","0","0","0","     1"
"17","$p(q)_{flt1}$","0.379","0.358","0.185","0.28","0.462","0.668",NA
